Filename,Shape,Affine Matrix,Orientation
20240709_post_CCRT_7_DTI_6Dir_b_0.1000_P-_A_3mm_re_se_20240709115233_6001.nii.gz,"(320, 320, 50)","[[-7.13304281e-01 -6.54179007e-02 -2.47599468e-01  1.26704308e+02]
 [-5.20661213e-02  7.01513767e-01 -6.15820408e-01 -9.75748978e+01]
 [-7.13283494e-02  1.42128512e-01  2.92558503e+00 -9.08871918e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20240709_post_CCRT_7_DTI_6Dir_b_0.1000_P-_A_3mm_re_se_20240709115233_7001.nii.gz,"(320, 320, 50)","[[-7.13304281e-01 -6.54179007e-02 -2.47599468e-01  1.26704308e+02]
 [-5.20661213e-02  7.01513767e-01 -6.15820408e-01 -9.75748978e+01]
 [-7.13283494e-02  1.42128512e-01  2.92558503e+00 -9.08871918e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20240709_post_CCRT_7_DTI_6Dir_b_0.1000_P-_A_3mm_re_se_20240709115233_8001.nii.gz,"(320, 320, 50)","[[-7.13304281e-01 -6.54179007e-02 -2.47599468e-01  1.26704308e+02]
 [-5.20661213e-02  7.01513767e-01 -6.15820408e-01 -9.75748978e+01]
 [-7.13283494e-02  1.42128512e-01  2.92558503e+00 -9.08871918e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20240709_post_CCRT_7_DTI_6Dir_b_0.1000_P-_A_3mm_re_se_20240709115233_9001.nii.gz,"(320, 320, 50)","[[  -0.71875     0.          0.        114.640625]
 [   0.          0.71875     0.       -114.640625]
 [   0.          0.          1.        -24.5     ]
 [   0.          0.          0.          1.      ]]","('L', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_16001_e1.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_16001_e2.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_16001_e3.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_16001_e4.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_17001_e1_ph.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_17001_e2_ph.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_17001_e3_ph.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_N_T2_SWI_TRA_3mm_4_echo_p4_os23p1_ma384_20240709115233_17001_e4_ph.nii.gz,"(696, 768, 52)","[[ 2.84287602e-01 -2.60723196e-02 -2.47586906e-01 -8.62397156e+01]
 [ 2.07509641e-02  2.79588491e-01 -6.15789175e-01 -1.08032288e+02]
 [ 2.84279305e-02  5.66453561e-02  2.92543674e+00 -1.14186600e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_T1_MPRAGE_SAG_FS_256x256_Gadovist_Gr-sp_20240709115233_32001.nii.gz,"(175, 480, 480)","[[ 9.91889417e-01 -4.91293594e-02 -4.03148681e-02 -6.93258209e+01]
 [ 7.79950842e-02  4.85696763e-01 -1.12151042e-01 -1.06901405e+02]
 [ 1.00362860e-01  1.08097039e-01  4.85589176e-01 -1.56762390e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_T1_MPRAGE_SAG_FS_256x256_Gadovist_Gr-sp_20240709115233_33001.nii.gz,"(480, 480, 170)","[[ 4.95941371e-01 -4.83653061e-02 -8.25350732e-02 -1.04088188e+02]
 [ 3.90299857e-02  4.87792939e-01 -2.05277532e-01 -1.18755783e+02]
 [ 5.01884520e-02  9.85845029e-02  9.75215077e-01 -1.23224678e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_T1_MPRAGE_SAG_FS_256x256_Gadovist_Gr-sp_20240709115233_34001.nii.gz,"(480, 190, 480)","[[ 4.95541006e-01 -9.73053202e-02 -4.55200411e-02 -1.02036995e+02]
 [ 3.80016938e-02  9.73969281e-01 -1.06795818e-01 -9.30920715e+01]
 [ 5.47265187e-02  2.04769000e-01  4.86335874e-01 -1.54574036e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_T1_MPRAGE_SAG_FS_256x256_Gadovist_Gr-sp_20240709115233_35001.nii.gz,"(480, 480, 30)","[[ 4.95941371e-01 -4.83653061e-02 -4.12676722e-01 -1.05286087e+02]
 [ 3.90299857e-02  4.87792939e-01 -1.02639103e+00 -1.22585419e+02]
 [ 5.01884520e-02  9.85845029e-02  4.87609148e+00 -1.08409836e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_T1_TSE_IR_TRA_DRB_20240709115233_14001.nii.gz,"(580, 640, 25)","[[-3.56482625e-01 -3.47649679e-02 -4.95200276e-01  1.16585815e+02]
 [-2.80547533e-02  3.50625515e-01 -1.23163891e+00 -9.87586975e+01]
 [-3.60754803e-02  7.08625242e-02  5.85116577e+00 -8.80341492e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20240709_post_CCRT_7_T1_TSE_SAG_20240709115233_23001.nii.gz,"(640, 640, 27)","[[ 3.53117399e-02 -2.89763082e-02  5.95097971e+00 -8.43891373e+01]
 [-3.49094570e-01 -8.06085542e-02  4.67942625e-01  1.23284866e+02]
 [-7.76947662e-02  3.49017233e-01  6.02141082e-01 -9.95880203e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('P', 'S', 'R')"
20240709_post_CCRT_7_T2_SPC3D_FLAIR_SAG_FS_P4_20240709115233_13001.nii.gz,"(352, 512, 512)","[[ 4.95983869e-01 -4.60637063e-02 -3.77992168e-02 -7.06190491e+01]
 [ 3.90006378e-02  4.55389321e-01 -1.05152808e-01 -1.04210358e+02]
 [ 5.01853935e-02  1.01351812e-01  4.55288410e-01 -1.56036148e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_T2_SPC3D_FLAIR_SAG_FS_P4_20240709115233_15001.nii.gz,"(512, 512, 25)","[[ 4.64994580e-01 -4.53473106e-02 -4.95212197e-01 -1.05146400e+02]
 [ 3.65945101e-02  4.57354605e-01 -1.23166776e+00 -1.22204773e+02]
 [ 4.70567346e-02  9.24327895e-02  5.85130405e+00 -1.10368713e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20240709_post_CCRT_7_T2_TSE_TRA_D-L_20240709115233_12001.nii.gz,"(928, 1024, 25)","[[-2.13172525e-01 -1.95502918e-02 -4.95198727e-01  1.10769615e+02]
 [-1.55600635e-02  2.09648907e-01 -1.23164034e+00 -9.48081970e+01]
 [-2.13166289e-02  4.24754173e-02  5.85116768e+00 -9.01153107e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20240709_post_CCRT_7_ep2d_perf_20240709115233_31001.nii.gz,"(240, 240, 23, 40)","[[-9.50553894e-01 -9.27000120e-02 -4.95215952e-01  1.26653305e+02]
 [-7.48073459e-02  9.34936047e-01 -1.23167741e+00 -9.81847229e+01]
 [-9.61945578e-02  1.88953519e-01  5.85134983e+00 -8.33292847e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20240709_post_CCRT_7_ep2d_perf_20240709115233_37001_e1.nii.gz,"(240, 240, 23)","[[-9.50553894e-01 -9.27000120e-02 -4.95215952e-01  1.26653305e+02]
 [-7.48073459e-02  9.34936047e-01 -1.23167741e+00 -9.81847229e+01]
 [-9.61945578e-02  1.88953519e-01  5.85134983e+00 -8.33292847e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20240709_post_CCRT_7_ep2d_perf_20240709115233_37001_e1a.nii.gz,"(240, 240, 23)","[[  -1.     0.     0.   119.5]
 [   0.     1.     0.  -119.5]
 [   0.     0.     1.   -11. ]
 [   0.     0.     0.     1. ]]","('L', 'A', 'S')"
