Filename,Shape,Affine Matrix,Orientation
20220111_pre_OP_3DT1_AX_Gadovist_1mm_20220111014643_1303.nii.gz,"(1024, 1024, 155)","[[ 2.34364823e-01  2.16116919e-03  1.35707960e-03 -1.23876503e+02]
 [-2.18370580e-03  2.30898038e-01  1.71357065e-01 -1.19829010e+02]
 [ 5.69846779e-05 -4.01630439e-02  9.85207736e-01 -4.11954269e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_3DT1_AX_Gadovist_5mm_20220111014643_1302.nii.gz,"(1024, 1024, 25)","[[ 2.34364823e-01  2.16116919e-03  8.14247876e-03 -1.23869713e+02]
 [-2.18370580e-03  2.30898038e-01  1.02814257e+00 -1.18972221e+02]
 [ 5.69846779e-05 -4.01630439e-02  5.91124773e+00 -3.62693863e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_3DT1_COR_Gadovist_1mm_20220111014643_1304.nii.gz,"(1024, 170, 1024)","[[ 2.34364823e-01  9.22094192e-03  3.18065606e-04 -1.23687492e+02]
 [-2.18370580e-03  9.85159874e-01  4.01618257e-02 -1.00770485e+02]
 [ 5.69846779e-05 -1.71361461e-01  2.30908126e-01 -8.81561127e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_3DT1_SAG_Gadovist_1mm_20220111014643_1305.nii.gz,"(175, 1024, 1024)","[[ 9.99954283e-01  2.16116919e-03  3.18065606e-04 -8.92091446e+01]
 [-9.31712240e-03  2.30898038e-01  4.01618257e-02 -1.28375732e+02]
 [ 2.43133996e-04 -4.01630439e-02  2.30908126e-01 -8.34022446e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_3D_FLAIR_FS_AX_5mm_20220111014643_402.nii.gz,"(1024, 1024, 25)","[[ 2.34364823e-01  2.16116919e-03  8.14247876e-03 -1.23858421e+02]
 [-2.18370580e-03  2.30898038e-01  1.02814257e+00 -1.17857437e+02]
 [ 5.69846779e-05 -4.01630439e-02  5.91124773e+00 -3.99858170e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_3D_FLAIR_SAG_BrainView_20220111014643_401.nii.gz,"(365, 480, 480)","[[ 4.99977082e-01  4.61049424e-03  6.78539975e-04 -9.49474258e+01]
 [-4.65856073e-03  4.92582470e-01  8.56785625e-02 -1.28768280e+02]
 [ 1.21566984e-04 -8.56811628e-02  4.92604017e-01 -8.59678726e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_DTI_32DIR_b1000_20220111014643_201.nii.gz,"(112, 112, 75, 33)","[[-1.99950552e+00  4.43869829e-02  2.71415547e-03  1.05723785e+02]
 [ 4.41954695e-02  1.96992230e+00  3.42713684e-01 -1.15586609e+02]
 [-4.93268389e-03 -3.42689514e-01  1.97041285e+00 -4.21001663e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_WIP_DTI_32DIR_b1000_20220111014643_201_ADC.nii.gz,"(112, 112, 75, 34)","[[-1.99950552e+00  4.43869829e-02  2.71415547e-03  1.05723785e+02]
 [ 4.41954695e-02  1.96992230e+00  3.42713684e-01 -1.15586609e+02]
 [-4.93268389e-03 -3.42689514e-01  1.97041285e+00 -4.21001663e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('L', 'A', 'S')"
20220111_pre_OP_WIP_DelRec_-_SWIp_20220111014643_603_e1.nii.gz,"(512, 512, 40)","[[ 4.29668844e-01  3.96214332e-03  2.71416246e-03 -1.12814232e+02]
 [-4.00346052e-03  4.23313051e-01  3.42714548e-01 -1.04939186e+02]
 [ 1.04471910e-04 -7.36322477e-02  1.97041798e+00 -1.31385002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
20220111_pre_OP_WIP_DelRec_-_SWIp_20220111014643_603_e1_ph.nii.gz,"(512, 512, 40)","[[ 4.29668844e-01  3.96214332e-03  2.71416246e-03 -1.12814232e+02]
 [-4.00346052e-03  4.23313051e-01  3.42714548e-01 -1.04939186e+02]
 [ 1.04471910e-04 -7.36322477e-02  1.97041798e+00 -1.31385002e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","('R', 'A', 'S')"
